# Сложность Легко
## Сложность Легко, Симметрия Без симметрии
3 0 1 160030007750000000300000589400900126010002904006070000294310700000009030000000001 169835247758294613342167589487953126513682974926471358294318765671549832835726491 88b41182
3 0 1 009170365107000000302600000000000409020050010040090008896007540504000020000510086 489172365167345892352689174731826459928453617645791238896237541514968723273514986 f0dbaa3e
3 0 1 706009800004008000800060207310070005080090060009012470000927030008000000950006700 736249851124758396895361247312674985487593162569812473641927538278435619953186724 b2ff3ce6
3 0 1 007050900001200008200900000000000804008090120049820050394005060000600080062300500 487156932951234678236978415123567894578493126649821753394785261715642389862319547 1be57d52
3 0 1 579000460680000300001006008030060010106080005200300007008009000700012000010008002 579823461682147359341956728837265914196784235254391687428539176765412893913678542 a12f3cdd
3 0 1 430009000800040000602000070007026003000850710120004685700200009008300104000010050 431789526875642391692531478587126943946853712123974685714265839258397164369418257 6b561cb8
3 0 1 000089105180500004090000300005290000000346000420700003278000006000000800300010249 763489125182563794594172368635298471817346952429751683278934516941625837356817249 a026f22
3 0 1 253006780000930005049085600000200307300500400001000060006000000004003901000120076 253416789687932145149785623568241397392567418471398562716859234824673951935124876 35788e8e
3 0 1 684310000302000000000809000000000800175438069806007035001506007408070000000100003 684315792392764518517829346923651874175438269846297135231546987458973621769182453 ee4be7e8
3 0 1 500290040030106809200700000000807100000060002074000090080920000005400006009000051 561298347437156829298734615952847163813569472674312598186925734325471986749683251 5259ccb
3 0 1 070009003306700490100060500800003000002000056531006009005910002080000100000635000 478159623356782491129364578864593217792841356531276849645918732983427165217635984 1bd2c502
3 0 1 007009800020700001000124060108040006040300100050002390060000009001458630000090410 417569823625783941893124567138945276249376158756812394564231789971458632382697415 24a8666b
3 0 1 100020000023400001090000704070300102000107300001002479500900200004003000300060980 146729835723485691895631724478396152259147368631852479567918243984273516312564987 95d44b6d
3 0 1 040060001900000000005890034003604000020070610050008009210000000807240100500007908 342765891981432567675891234193654782428973615756128349219586473837249156564317928 dc6ad1ba
3 0 1 305046009080000300200009080000000004020900017600030295874120060000080000030000500 315846729489271356267359481798512634523964817641738295874125963956483172132697548 6af1d44c
3 0 1 700640800006300045050008609500002400000700090000006072342000000000109304601450000 719645823286391745453278619567912438128734596934586172342867951875129364691453287 e0b59e48
3 0 1 000690003009003004453000000004805009070020300300010020020048005905200000047050610 782694153169583274453172896214835769578926341396417528621748935935261487847359612 da3d3da0
3 0 1 300410000000706100010000480001350090408100020060090708000000950150030000620045300 385419267942786135716523489271358694498167523563294718834671952157932846629845371 68bba9da
3 0 1 803090000070500060504078100005010000100684030000000008049107082600340700000000300 813496527972531864564278193285913476197684235436725918349157682628349751751862349 fd0b8d6
3 0 1 802670005030005009015004200000300800000060020008010600004890000270000398000002010 892673145436125789715984263627349851143568927958217634364891572271456398589732416 4615d6f0
3 0 1 020090030060000000000013450000000103080067000306109700750020048610900000002780600 124596837563478921897213456975842163281367594346159782759621348618934275432785619 83b7d3ae
3 0 1 030000680007000400500900720000190040050030002000006009000300010083540067605081200 239457681817623495564918723728195346956834172341276859472369518183542967695781234 a18aacd2
3 0 1 643500702275600094000002503000000070039056008026030009050301080067800000100020000 643589712275613894891472563518294376739156248426738159952361487367845921184927635 fd28f9dd
3 0 1 060035040100000057459700030000072089000003004800900025536408000001000000200369010 768235941123694857459781236345172689692853174817946325536418792981527463274369518 f3bca23d
3 0 1 030600800060510023400089006001040009600800200003005018300000507018000390500900480 139672845867514923452389176281743659675891234943265718394128567718456392526937481 6c6cb36c
3 0 1 400000900008000000006532001200000019890124605000000000709480000050007004100009036 415678923328941567976532481247865319893124675561793248739486152652317894184259736 116f171c
3 0 1 800000406000027003002100000700001605000364008004050001206400800008205904040090030 871539426469827513352146789723981645915364278684752391296413857138275964547698132 cc1cd356
3 0 1 006000149900010600001700020800004000403000206017600480200960071078500000000071000 726385149985412637341796528862134795493857216517629483254968371178543962639271854 d2257ff7
3 0 1 230009008650070012000200300800000640001080720029700000100000080000800206700063004 237619458654378912918245367875132649361984725429756831196427583543891276782563194 88c9d116
3 0 1 040050080081003006006709104090207840000064000007000000500040003100002400060830090 742156389981423576356789124693217845825364917417598632578941263139672458264835791 d67b5d45
3 0 1 680000050059604300400100000503020008000009024000008500000000946006200001108003000 681392457759684312432157689513426798867539124294718563325871946976245831148963275 6e3ae96f
3 0 1 038000090007019000090340600000871305005003869800600000010007000000050001902100000 538762194467519283291348657629871345175423869843695712314987526786254931952136478 226af039
3 0 1 095100007100006800600500020000085000004000001307010608000004010029300004030070250 895123467142796835673548129916485372284637591357912648768254913529361784431879256 dc2096dd
3 0 1 065000700020080600090000040900052437006008002000903100780320500009800003203000010 165439728324587691897261345918652437436178952572943186781324569649815273253796814 a3edd71b
3 0 1 830002600072560400000080000007000004090005006506209000651020008000050940940100060 835492617172563489469781352287316594394875126516249873651924738723658941948137265 566d9a6a
3 0 1 236000400000009602005000010043170800680000200020050070004800900900064037060000048 236781495471539682895426713543172869687943251129658374354817926918264537762395148 48362c02
3 0 1 048030600007000240605270300060020058410009000080003002300856007000000004050040020 248135679137698245695274381763421958412589763589763412324856197876912534951347826 86cd0bd6
3 0 1 080603040000000070050079023027900014600087209009000750000790360001050080000001090 782613945193245678456879123527936814614587239839124756245798361961352487378461592 a87cc00f
3 0 1 000050004900200607000346892000498270200003100007000000009065030001937006070000005 862759314934281657715346892156498273248573169397612548429865731581937426673124985 c38153e8
3 0 1 305000091000000360800073240060309054009010030000006020040025900750000400008060000 325648791174592368896173245267389154589214637413756829641825973752931486938467512 a2081065
3 0 1 100094205005160000008300000600000502540000608080005014003500007800031940060020000 176894235325167489498352761631489572547213698289675314913546827852731946764928153 9e497fb8
